app_data_source,loc_region,return_to_yp,score_total,dem_gender,dem_age,edu_qual_highest,edu_qual_highest_year,emp_yes,emp_org_type,emp_duration,emp_currently,exp_w_child,exp_length_teacher,exp_length_school,exp_length_employee,exp_length_volunteer,interest_w_child,prac_scenario_volunt,prac_scenario_noshow,yi_hired
T1 2020,Kweneng,Yes,21,Female,26,Bachelors Degree,2018,Yes,"Health care, social assistance, nonprofit",13.2,No,Yes,2,3,7,2,4,1,Planning together with fellow facilitators,0
T1 2020,South East,No,21,Male,34,Bachelors Degree,2012,Yes,Education,30,No,Yes,6,32,60,4,4,1,Plan individually,0
T1 2020,Central,No,20.5,Female,25,Bachelors Degree,2015,Yes,Other,11,No,Yes,8,12,8,12,4,1,Planning together with fellow facilitators,0
T1 2020,South East,No,20.5,Female,31,Bachelors Degree,2015,Yes,"Health care, social assistance, nonprofit",18,No,Yes,6,6,5,24,4,1,Planning together with fellow facilitators,0
T1 2020,North West,No,20.5,Female,32,Diploma,2010,Yes,"Health care, social assistance, nonprofit",79.19999999999999,No,Yes,60,57,72,6,1,1,Planning together with fellow facilitators,0
T1 2020,Southern,No,20.5,Female,30,Bachelors Degree,2013,Yes,Education,10,No,Yes,12,24,24,24,4,1,Planning together with fellow facilitators,0
T1 2020,Kweneng,Yes,20.5,Female,26,Bachelors Degree,2016,Yes,"Health care, social assistance, nonprofit",15.6,No,Yes,3,9,3,6,4,1,Planning together with fellow facilitators,1
T1 2020,Kgatleng,No,20.5,Female,34,Bachelors Degree,2014,Yes,Education,16.799999999999997,No,Yes,24,3,18,18,4,1,Planning together with fellow facilitators,0
T1 2020,South East,No,20.5,Female,24,Bachelors Degree,2019,Yes,Education,39.6,No,Yes,24,6,24,16,4,1,Planning together with fellow facilitators,0
T1 2020,South East,No,20.5,Female,23,Diploma,2018,Yes,Education,20.4,Yes,Yes,12,18,23,24,1,1,Planning together with fellow facilitators,0
T1 2020,Central,No,20.5,Female,33,Bachelors Degree,2010,Yes,Education,39.6,Yes,Yes,27.6,9,22.8,18,1,1,Planning together with fellow facilitators,0
T1 2020,Southern,No,20.5,Female,25,Bachelors Degree,2017,Yes,Education,2,No,Yes,2,1,6,5,4,1,Planning together with fellow facilitators,0
T1 2020,Kweneng,Yes,20.5,Female,32,Bachelors Degree,2012,Yes,Manufacturing,39.6,No,Yes,9,36,12,18,4,1,Planning together with fellow facilitators,0
T1 2020,Chobe,No,20.5,Female,28,Bachelors Degree,2014,Yes,Education,57.6,No,Yes,48,6,24,24,4,1,Plan individually,0
T1 2020,South East,No,20,Male,30,Masters Degree,2019,Yes,Education,21.6,No,Yes,24,10,4,12,4,1,Planning together with fellow facilitators,0
T1 2020,Kweneng,Yes,20,Female,25,Certificate,2019,Yes,Education,67.19999999999999,Yes,Yes,22.8,66,39.6,17,4,1,Planning together with fellow facilitators,1
T1 2020,Southern,No,20,Female,23,Certificate,2017,Yes,Education,10,No,Yes,10,14.4,12,24,4,1,Planning together with fellow facilitators,0
T1 2020,Central,No,20,Female,26,Bachelors Degree,2016,Yes,Education,33.599999999999994,No,Yes,6,6,30,30,4,1,Plan individually,0
T1 2020,Central,Yes,20,Female,27,Bachelors Degree,2018,Yes,"Health care, social assistance, nonprofit",10,Yes,Yes,2,2,2,10,4,1,Planning together with fellow facilitators,0
T1 2020,Central,No,20,Female,25,Bachelors Degree,2017,Yes,Education,15.6,Yes,Yes,21.6,14.4,30,18,1,1,Planning together with fellow facilitators,0
T1 2020,Kgatleng,No,19.5,Female,27,Bachelors Degree,2018,Yes,"Health care, social assistance, nonprofit",21.6,No,Yes,3,24,9,84,4,1,Planning together with fellow facilitators,0
T1 2020,North West,No,19.5,Female,24,Bachelors Degree,2017,Yes,"Health care, social assistance, nonprofit",38.400000000000006,Yes,Yes,6,12,2,6,4,1,Planning together with fellow facilitators,1
T1 2020,South East,No,19.5,Male,28,Bachelors Degree,2017,Yes,Education,21.6,No,Yes,22.8,2,22.8,17,1,1,Plan individually,0
T1 2020,Kgatleng,No,19.5,Female,23,Bachelors Degree,2017,Yes,Education,13.2,No,Yes,18,15.6,2,1,1,1,Planning together with fellow facilitators,0
T1 2020,Kgatleng,No,19.5,Female,30,Diploma,2013,Yes,Education,36,No,Yes,72,6,32.400000000000006,32.400000000000006,4,1,Plan individually,0
T1 2020,South East,No,19.5,Female,43,Diploma,2014,Yes,Education,21.6,No,Yes,24,32,32.400000000000006,48,1,1,Planning together with fellow facilitators,0
T1 2020,North East,No,19.5,Female,25,Bachelors Degree,2017,Yes,Government or public administration,14.4,No,Yes,12,9,24,12,4,1,Planning together with fellow facilitators,1
T1 2020,North East,No,19.5,Female,23,Secondary School,2014,Yes,Education,20.4,Yes,Yes,3,20.4,12,4,4,1,Planning together with fellow facilitators,1
T1 2020,Kgalagadi,Yes,19.5,Male,33,Bachelors Degree,2012,Yes,Education,81.6,Yes,Yes,60,60,120,36,1,1,Planning together with fellow facilitators,0
T1 2020,Kgatleng,No,19.5,Female,23,Certificate,2018,Yes,Education,2,No,Yes,3,2,3,12,4,1,Planning together with fellow facilitators,1
T1 2020,Kgatleng,No,19.5,Female,25,Certificate,2014,Yes,Education,30,No,Yes,24,42,32.400000000000006,32.400000000000006,1,1,Planning together with fellow facilitators,0
T1 2020,Central,Yes,19.5,Female,29,Bachelors Degree,2016,Yes,Arts and entertainment,27.6,No,Yes,3,6,2,3,4,1,Planning together with fellow facilitators,0
T1 2020,North West,No,19.5,Female,27,Secondary School,2009,Yes,"Health care, social assistance, nonprofit",117.6,Yes,Yes,60,89,108,84,1,1,Planning together with fellow facilitators,1
T1 2020,North East,Yes,19,Female,26,Bachelors Degree,2015,Yes,"Health care, social assistance, nonprofit",7,No,Yes,2,3,9,24,1,1,Planning together with fellow facilitators,0
T1 2020,South East,No,19,Female,23,Diploma,2019,Yes,Education,57.6,No,Yes,36,5,24,18,4,1,Planning together with fellow facilitators,1
T1 2020,North East,No,19,Female,24,Certificate,2019,Yes,Other,24,No,Yes,19.200000000000003,3,12,12,1,1,Planning together with fellow facilitators,0
T1 2020,Kgatleng,No,19,Male,29,Bachelors Degree,2013,Yes,Education,24,No,Yes,24,24,13.2,24,4,1,Plan individually,0
T1 2020,South East,No,19,Female,27,Bachelors Degree,2016,Yes,Utilities or construction,28.8,No,Yes,6,12,5,12,4,1,Planning together with fellow facilitators,1
T1 2020,North West,No,19,Female,28,Bachelors Degree,2016,Yes,Government or public administration,20.4,No,Yes,2,12,12,3,4,1,Planning together with fellow facilitators,0
T1 2020,Chobe,No,19,Female,26,Bachelors Degree,2015,Yes,Education,34.8,No,Yes,3,3,12,14.4,4,1,Plan individually,0
T1 2020,Kgatleng,No,19,Female,32,Bachelors Degree,2012,Yes,Education,11,No,Yes,6,6,1,6,1,1,Planning together with fellow facilitators,1
T1 2020,Kgatleng,No,19,Female,26,Certificate,2019,Yes,Education,40.8,Yes,Yes,8,42,18,5,4,1,Planning together with fellow facilitators,1
T1 2020,Southern,No,19,Female,32,Bachelors Degree,2014,Yes,Arts and entertainment,33.599999999999994,Yes,Yes,12,1,10,3,4,1,Planning together with fellow facilitators,0
T1 2020,Kgatleng,No,19,Male,24,Secondary School,2014,Yes,Education,33.599999999999994,No,Yes,48,33.599999999999994,36,33.599999999999994,1,1,Planning together with fellow facilitators,0
T1 2020,South East,No,19,Female,31,Bachelors Degree,2010,Yes,Education,32.400000000000006,No,Yes,36,6,24,12,1,1,Plan individually,0
T1 2020,South East,No,18.5,Female,25,Bachelors Degree,2018,Yes,Education,1,No,Yes,2,2,5,13.2,1,1,Planning together with fellow facilitators,0
T1 2020,South East,Yes,18.5,Female,26,Bachelors Degree,2016,No,"Health care, social assistance, nonprofit",12,Yes,Yes,3,24,24,3,4,1,Planning together with fellow facilitators,0
T1 2020,North West,No,18.5,Female,30,Bachelors Degree,2018,No,"Health care, social assistance, nonprofit",54,No,Yes,12,6,12,12,4,1,Planning together with fellow facilitators,1
T1 2020,South East,Yes,18.5,Female,29,Bachelors Degree,2013,Yes,"Health care, social assistance, nonprofit",15.6,Yes,Yes,1,6,1,6,1,1,Planning together with fellow facilitators,0
T1 2020,Kgatleng,No,18.5,Female,26,Bachelors Degree,2016,Yes,"Health care, social assistance, nonprofit",22.8,No,Yes,12,4,2,1,4,1,Planning together with fellow facilitators,0
T1 2020,North East,No,18.5,Female,32,Bachelors Degree,2010,Yes,Education,34.8,No,Yes,36,12,36,5,4,1,Planning together with fellow facilitators,0
T1 2020,North East,No,18.5,Female,28,Certificate,2014,Yes,Education,22.8,No,Yes,3,24,24,4,1,1,Plan individually,0
T1 2020,Central,No,18.5,Female,28,Bachelors Degree,2016,Yes,Government or public administration,21.6,Yes,Yes,2,21.6,12,5,1,1,Planning together with fellow facilitators,0
T1 2020,North West,No,18.5,Female,27,Bachelors Degree,2016,Yes,Government or public administration,21.6,No,Yes,2,21.6,12,3,4,1,Planning together with fellow facilitators,0
T1 2020,Kgatleng,No,18.5,Female,25,Bachelors Degree,2018,Yes,"Health care, social assistance, nonprofit",9,Yes,Yes,3,10,3,12,4,1,Planning together with fellow facilitators,1
T1 2020,Central,No,18.5,Female,24,Bachelors Degree,2019,No,"Health care, social assistance, nonprofit",15,No,Yes,3,3,5,9,4,1,Planning together with fellow facilitators,1
T1 2020,North East,No,18.5,Female,29,Bachelors Degree,2013,Yes,Education,33.599999999999994,No,Yes,3,36,60,24,4,1,Plan individually,0
T1 2020,Kweneng,No,18.5,Male,30,Bachelors Degree,2017,Yes,"Farming, agriculture, or mining",10,No,Yes,12,3,5,3,4,1,Planning together with fellow facilitators,0
T1 2020,South East,No,18.5,Female,27,Secondary School,2011,Yes,Education,20.4,No,Yes,3,20.4,10,2,1,1,Planning together with fellow facilitators,0
T1 2020,North East,No,18.5,Female,32,Bachelors Degree,2010,Yes,Software or technology,58.8,No,No,40.8,24,24,1,4,1,Planning together with fellow facilitators,0
T1 2020,North East,No,18.5,Female,24,Secondary School,2013,Yes,Retail,12,No,Yes,5,20.4,24,11,4,1,Planning together with fellow facilitators,0
T1 2020,Kgatleng,Yes,18,Female,24,Bachelors Degree,2017,Yes,"Farming, agriculture, or mining",8,No,Yes,6,6,3,4,4,1,Planning together with fellow facilitators,0
T1 2020,North East,No,18,Female,22,Bachelors Degree,2019,No,Education,17,No,Yes,5,5,24,5,4,1,Planning together with fellow facilitators,1
T1 2020,North West,Yes,18,Female,29,Masters Degree,2019,No,"Health care, social assistance, nonprofit",27.6,No,Yes,12,42,6,12,4,1,Planning together with fellow facilitators,0
T1 2020,Kgatleng,No,18,Male,24,Bachelors Degree,2019,No,Government or public administration,4,No,Yes,5,6,5,5,4,1,Planning together with fellow facilitators,1
T1 2020,South East,No,18,Female,26,Bachelors Degree,2016,No,"Health care, social assistance, nonprofit",24,Yes,Yes,2,6,6,12,4,1,Planning together with fellow facilitators,1
T1 2020,North West,No,18,Female,23,Secondary School,2013,Yes,Education,27.6,No,Yes,18,12,6,8,4,1,Planning together with fellow facilitators,0
T1 2020,North East,No,18,Male,28,Diploma,2016,Yes,Other,9,No,Yes,12,8,2,3,4,1,Planning together with fellow facilitators,0
T1 2020,North East,No,18,Female,34,Certificate,2018,Yes,Other,105.6,No,Yes,8,3,1,12,1,1,Planning together with fellow facilitators,0
T1 2020,Central,No,18,Male,28,Certificate,2009,Yes,Retail,3,No,Yes,1,2,8,4,4,1,Planning together with fellow facilitators,0
T1 2020,North East,Yes,18,Female,28,Bachelors Degree,2014,Yes,Education,11,No,Yes,12,24,21.6,24,4,1,Planning together with fellow facilitators,1
T1 2020,North East,No,18,Male,28,Bachelors Degree,2014,Yes,Software or technology,28.8,No,Yes,24,6,6,4,4,1,Planning together with fellow facilitators,0
T1 2020,Kgalagadi,No,18,Female,25,Bachelors Degree,2018,No,Education,60,No,Yes,4,12,13,12,4,1,Planning together with fellow facilitators,1
T1 2020,South East,No,18,Male,23,Bachelors Degree,2019,Yes,Other,8,Yes,Yes,7,7,3,4,4,1,Planning together with fellow facilitators,1
T1 2020,Kgatleng,No,18,Female,27,Bachelors Degree,2017,Yes,Software or technology,8,No,Yes,3,3,8,12,4,1,Planning together with fellow facilitators,0
T1 2020,Central,No,18,Male,26,Bachelors Degree,2017,Yes,Government or public administration,5,No,Yes,3,10,12,3,1,1,Planning together with fellow facilitators,0
T1 2020,North East,No,18,Female,29,Bachelors Degree,2015,Yes,Arts and entertainment,18,No,Yes,15.6,2,3,5,4,1,Planning together with fellow facilitators,0
T1 2020,Southern,No,17.5,Male,23,Bachelors Degree,2020,No,"Health care, social assistance, nonprofit",1,No,Yes,2,16.799999999999997,12,1,4,1,Planning together with fellow facilitators,0
T1 2020,Central,No,17.5,Male,27,Bachelors Degree,2015,Yes,Hotel or food services,22.8,No,Yes,12,3,12,24,4,1,Plan individually,0
T1 2020,Central,No,17.5,Female,27,Bachelors Degree,2018,Yes,"Finance, insurance or information services",5,No,Yes,21.6,12,3,8,4,1,Planning together with fellow facilitators,0
T1 2020,Kgatleng,No,17.5,Female,28,Bachelors Degree,2016,Yes,Education,21.6,No,Yes,24,36,19,8,4,1,Plan individually,0
T1 2020,Southern,No,17.5,Female,27,Bachelors Degree,2017,Yes,Education,16.799999999999997,No,Yes,36,36,24,18,1,1,Planning together with fellow facilitators,0
T1 2020,South East,No,17.5,Female,23,Secondary School,2014,Yes,Education,9,Yes,Yes,2,9,12,6,4,1,Planning together with fellow facilitators,1
T1 2020,South East,Yes,17.5,Female,30,Certificate,2010,Yes,"Finance, insurance or information services",38.400000000000006,No,Yes,24,2,3,2,4,1,Planning together with fellow facilitators,1
T1 2020,North East,No,17.5,Female,33,Bachelors Degree,2011,Yes,Education,21.6,No,Yes,22.8,15,22.8,6,4,1,Plan individually,0
T1 2020,South East,No,17.5,Female,25,Certificate,2018,Yes,Education,21.6,Yes,Yes,12,5,21.6,5,1,1,Planning together with fellow facilitators,0
T1 2020,Southern,No,17.5,Female,24,Certificate,2019,Yes,Education,13.2,No,Yes,14.4,12,24,4,4,1,Planning together with fellow facilitators,0
T1 2020,North East,No,17.5,Female,33,Bachelors Degree,2011,Yes,Education,36,No,Yes,36,12,36,6,4,1,Plan individually,0
T1 2020,North East,No,17.5,Female,26,Bachelors Degree,2016,Yes,"Health care, social assistance, nonprofit",22.8,Yes,Yes,21.6,1,12,3,1,1,Planning together with fellow facilitators,0
T1 2020,South East,No,17.5,Male,33,Bachelors Degree,2015,Yes,Education,58.8,No,Yes,24,12,24,12,4,1,Plan individually,0
T1 2020,Kgatleng,No,17.5,Female,27,Bachelors Degree,2016,Yes,Other,22.8,No,Yes,24,7,3,3,4,1,Planning together with fellow facilitators,0
T1 2020,North West,No,17.5,Female,26,Diploma,2018,Yes,Arts and entertainment,4,No,Yes,5,2,8,5,4,1,Planning together with fellow facilitators,0
T1 2020,Kgatleng,No,17.5,Female,28,Bachelors Degree,2015,Yes,"Health care, social assistance, nonprofit",11,No,Yes,2,24,8,13.2,1,1,Planning together with fellow facilitators,1
T1 2020,South East,No,17.5,Female,30,Diploma,2015,Yes,"Health care, social assistance, nonprofit",20.4,Yes,Yes,12,24,12,14.4,1,1,Plan individually,0
T1 2020,Kgatleng,No,17.5,Female,33,Diploma,2014,Yes,Education,56.400000000000006,Yes,Yes,36,48,60,36,4,1,Plan individually,0
T1 2020,Central,No,17.5,Female,24,Bachelors Degree,2020,Yes,Education,3,No,Yes,28,2,24,4,4,1,Planning together with fellow facilitators,0
T1 2020,Southern,No,17.5,Female,25,Bachelors Degree,2017,Yes,Education,15.6,Yes,Yes,3,3,7,12,4,1,Planning together with fellow facilitators,0
T1 2020,Kgatleng,No,17.5,Female,28,Bachelors Degree,2016,Yes,"Health care, social assistance, nonprofit",12,No,Yes,5,18,6,10,1,1,Planning together with fellow facilitators,0
T1 2020,South East,No,17.5,Female,30,Bachelors Degree,2018,Yes,"Health care, social assistance, nonprofit",19.200000000000003,Yes,Yes,7,7,12,36,4,1,Plan individually,0
T1 2020,Kgatleng,No,17,Female,29,Bachelors Degree,2014,Yes,Education,10,No,Yes,36,6,12,36,1,1,Planning together with fellow facilitators,0
T1 2020,Kweneng,No,17,Male,30,Bachelors Degree,2017,Yes,Education,45.6,No,Yes,24,2,36,45.6,4,1,Plan individually,0
T1 2020,Central,No,17,Female,23,Diploma,2016,Yes,"Health care, social assistance, nonprofit",20.4,Yes,Yes,18,18,30,10,4,1,Plan individually,1
T1 2020,South East,No,17,Female,21,Secondary School,2016,Yes,Hotel or food services,3,No,Yes,12,3,3,3,4,1,Planning together with fellow facilitators,0
T1 2020,Central,Yes,17,Female,24,Diploma,2017,Yes,Hotel or food services,16.799999999999997,No,Yes,3,4,3,3,4,1,Planning together with fellow facilitators,1
T1 2020,Kweneng,No,17,Female,27,Secondary School,2010,Yes,Education,8,No,Yes,2,9,6,1,4,1,Planning together with fellow facilitators,0
T1 2020,North West,No,17,Female,25,Masters Degree,2016,Yes,Education,21.6,No,Yes,21.6,21.6,24,2,1,1,Plan individually,0
T1 2020,North East,No,17,Female,23,Bachelors Degree,2019,Yes,Education,3,No,Yes,6,7,1,5,4,1,Planning together with fellow facilitators,1
T1 2020,South East,No,17,Female,28,Bachelors Degree,2019,Yes,Education,16.799999999999997,No,Yes,3,20.4,1,20.4,1,1,Plan individually,0
T1 2020,North East,No,17,Male,29,Bachelors Degree,2016,No,Other,15,No,Yes,8,18,3,3,1,1,Planning together with fellow facilitators,0
T1 2020,Chobe,No,17,Male,25,Bachelors Degree,2019,No,Government or public administration,32,No,No,34,6,11,11,4,1,Planning together with fellow facilitators,0
T1 2020,North East,No,17,Female,24,Bachelors Degree,2017,Yes,Transportation or warehousing,30,Yes,Yes,9,10,8,6,4,1,Planning together with fellow facilitators,0
T1 2020,Kgatleng,No,17,Female,29,Bachelors Degree,2016,Yes,"Health care, social assistance, nonprofit",34.8,Yes,Yes,11,5,8,12,4,1,Planning together with fellow facilitators,0
T1 2020,South East,No,17,Male,25,Diploma,2015,Yes,"Health care, social assistance, nonprofit",12,No,Yes,3,24,3,2,1,1,Planning together with fellow facilitators,0
T1 2020,Central,No,16.5,Male,27,Diploma,2014,Yes,Retail,39.6,No,No,24,15,24,36,4,1,Planning together with fellow facilitators,0
T1 2020,North East,No,16.5,Female,31,Diploma,2015,Yes,Utilities or construction,11,No,Yes,12,29,5,6,4,1,Planning together with fellow facilitators,0
T1 2020,Southern,No,16.5,Female,26,Bachelors Degree,2016,No,Government or public administration,9,No,Yes,2,2,12,12,4,1,Planning together with fellow facilitators,0
T1 2020,South East,Yes,16.5,Male,32,Bachelors Degree,2018,Yes,"Health care, social assistance, nonprofit",19.200000000000003,Yes,Yes,15,18,12,24,1,1,Plan individually,0
T1 2020,North East,No,16.5,Female,26,Certificate,2018,Yes,Education,12,No,Yes,12,15.6,12,12,1,1,Plan individually,0
T1 2020,Kgatleng,No,16.5,Female,25,Bachelors Degree,2018,No,Other,9,No,Yes,19.200000000000003,5,1,13.2,1,1,Planning together with fellow facilitators,0
T1 2020,North East,No,16.5,Female,27,Secondary School,2010,Yes,Other,22.8,No,Yes,2,12,3,6,4,1,Planning together with fellow facilitators,0
T1 2020,Chobe,No,16.5,Female,27,Certificate,2015,No,"Health care, social assistance, nonprofit",8,No,Yes,18,6,2,24,4,1,Planning together with fellow facilitators,0
T1 2020,Kgatleng,No,16.5,Female,25,Certificate,2016,Yes,Education,22.8,No,Yes,24,1,24,6,1,1,Plan individually,0
T1 2020,Central,No,16.5,Female,22,Bachelors Degree,2020,No,"Health care, social assistance, nonprofit",1,Yes,Yes,2,1,6,3,1,1,Planning together with fellow facilitators,0
T1 2020,North West,No,16.5,Female,30,Bachelors Degree,2013,Yes,Education,7,No,Yes,18,3,5,6,4,1,Plan individually,1
T1 2020,North East,No,16.5,Female,22,Certificate,2017,No,Education,11,No,Yes,1,6,7,3,4,1,Planning together with fellow facilitators,1
T1 2020,South East,Yes,16.5,Male,31,Diploma,2016,Yes,Government or public administration,1,No,Yes,18,11,15,2,4,1,Planning together with fellow facilitators,1
T1 2020,South East,No,16.5,Female,35,Bachelors Degree,2011,Yes,Education,33.599999999999994,No,Yes,33.599999999999994,8,36,1,4,1,Plan individually,0
T1 2020,Kgatleng,No,16.5,Female,24,Bachelors Degree,2019,Yes,"Health care, social assistance, nonprofit",6,No,Yes,9,6,3,12,4,1,Planning together with fellow facilitators,0
T1 2020,Kweneng,No,16.5,Male,31,Diploma,2016,Yes,Government or public administration,2,No,No,3,13,6,36,4,1,Planning together with fellow facilitators,0
T1 2020,South East,Yes,16.5,Female,29,Certificate,2014,Yes,Other,21.6,No,Yes,22.8,7,5,2,4,1,Planning together with fellow facilitators,0
T1 2020,South East,No,16.5,Female,28,Bachelors Degree,2018,Yes,"Health care, social assistance, nonprofit",12,No,Yes,4,6,12,96,4,1,Planning together with fellow facilitators,0
T1 2020,North East,No,16.5,Female,27,Bachelors Degree,2016,Yes,Other,15.6,Yes,Yes,15.6,24,12,12,1,1,Planning together with fellow facilitators,0
T1 2020,Central,No,16.5,Female,25,Diploma,2016,Yes,Other,18,No,Yes,6,42,6,10,1,1,Planning together with fellow facilitators,1
T1 2020,Central,Yes,16,Female,22,Bachelors Degree,2018,No,Other,16.799999999999997,No,Yes,8,3,12,6,4,1,Planning together with fellow facilitators,0
T1 2020,Chobe,No,16,Female,26,Bachelors Degree,2017,No,Education,9,No,Yes,3,3,1,6,4,1,Planning together with fellow facilitators,1
T1 2020,South East,No,16,Female,21,Bachelors Degree,2020,Yes,Education,3,No,Yes,12,6,12,60,4,1,Planning together with fellow facilitators,0
T1 2020,North East,No,16,Female,29,Secondary School,2009,Yes,Education,21.6,Yes,Yes,14.4,20.4,24,10,4,1,Plan individually,0
T1 2020,North East,No,16,Female,24,Bachelors Degree,2018,No,Government or public administration,12,No,Yes,12,2,3,3,1,1,Planning together with fellow facilitators,1
T1 2020,North East,No,16,Female,24,Bachelors Degree,2013,Yes,Education,3,No,Yes,4,1,5,4,4,1,Plan individually,0
T1 2020,Kweneng,No,16,Female,25,Bachelors Degree,2017,Yes,"Health care, social assistance, nonprofit",20.4,No,Yes,6,12,24,4,4,1,Plan individually,0
T1 2020,North West,No,16,Female,27,Certificate,2017,Yes,Education,9,No,Yes,9,1,9,2,1,1,Plan individually,0
T1 2020,North East,No,16,Male,28,Diploma,2017,No,Other,19.200000000000003,Yes,Yes,20,5,24,2,4,1,Planning together with fellow facilitators,0
T1 2020,North East,No,16,Female,24,Bachelors Degree,2016,Yes,Other,16.799999999999997,No,Yes,3,6,3,4,4,1,Planning together with fellow facilitators,0
T1 2020,Kweneng,No,16,Female,30,Bachelors Degree,2018,Yes,"Health care, social assistance, nonprofit",19.200000000000003,Yes,Yes,3,6,24,5,4,1,Plan individually,0
T1 2020,Chobe,No,16,Female,24,Bachelors Degree,2017,Yes,Education,13.2,No,Yes,14.4,4,7,4,4,1,Plan individually,0
T1 2020,Kgatleng,No,16,Female,25,Bachelors Degree,2017,Yes,"Health care, social assistance, nonprofit",1,Yes,Yes,30,2,3,2,4,1,Planning together with fellow facilitators,0
T1 2020,South East,Yes,16,Male,23,Diploma,2016,Yes,Other,2,No,Yes,24,6,5,12,1,1,Planning together with fellow facilitators,0
T1 2020,Kgatleng,No,16,Female,29,Diploma,2017,Yes,Government or public administration,14.4,Yes,Yes,2,24,9,24,4,1,Planning together with fellow facilitators,0
T1 2020,South East,No,16,Female,25,Certificate,2018,Yes,Education,45.6,No,Yes,11,46.8,60,2,4,1,Plan individually,0
T1 2020,Kgatleng,No,16,Female,27,Bachelors Degree,2014,Yes,Education,20.4,No,Yes,36,2,42,24,1,1,Plan individually,0
T1 2020,North East,No,16,Female,30,Bachelors Degree,2017,No,Government or public administration,24,No,Yes,2,16.799999999999997,31.200000000000003,5,4,1,Plan individually,0
T1 2020,Kgatleng,Yes,16,Female,22,Secondary School,2015,Yes,Education,3,Yes,Yes,14,3,3,3,4,1,Planning together with fellow facilitators,1
T1 2020,Kweneng,No,16,Female,26,Diploma,2015,Yes,"Health care, social assistance, nonprofit",42,No,Yes,2,12,6,6,4,1,Plan individually,0
T1 2020,South East,Yes,16,Male,28,Certificate,2011,Yes,Education,48,Yes,Yes,6,4,24,3,4,1,Plan individually,0
T1 2020,North East,Yes,16,Male,26,Secondary School,2010,Yes,Military,36,No,Yes,6,2,8,2,4,1,Planning together with fellow facilitators,0
T1 2020,North East,Yes,15.5,Female,26,Certificate,2014,Yes,Hotel or food services,18,No,No,24,6,8,12,1,1,Planning together with fellow facilitators,0
